id,name_en,name_zh,category,group_code,status,source_url,first_seen,last_updated,brn,registered_address,company_type,date_of_incorporation,cr_matched_name,cr_match_ratio
39,Build King Construction Limited,Build King Construction Limited,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,67328136,"G/F.,, NO. 423 RECLAMATION STREET,, KOWLOON, HONG KONG",Private company limited by shares,03-03-2017,BUILD KING LIMITED,0.9
40,Build King Construction Limited,Build King Construction Limited,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,67328136,"G/F.,, NO. 423 RECLAMATION STREET,, KOWLOON, HONG KONG",Private company limited by shares,03-03-2017,BUILD KING LIMITED,0.9
41,Build King Construction Limited,Build King Construction Limited,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,67328136,"G/F.,, NO. 423 RECLAMATION STREET,, KOWLOON, HONG KONG",Private company limited by shares,03-03-2017,BUILD KING LIMITED,0.9
42,Chan Shum Kee Sam Lee Construction Company Limited,陳森記森利建築有限公司,Buildings,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,05751296,"ROOM 1502, CHARM CENTRE, 700 CASTLE PEAK ROAD KLN, HONG KONG",Private company limited by shares,08-09-1978,CHAN SHUM KEE SAM LEE CONSTRUCTION COMPANY LIMITED,1.0
43,Chatwin Engineering Limited,正宏工程有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,14294934,"20TH FLOOR, 68 YEE WO STREET, CAUSEWAY BAY, HONG KONG",Private company limited by shares,04-01-1991,CHATWIN ENGINEERING LIMITED,1.0
44,Chau Mou Engineering & Company,秋茂工程公司,Waterworks,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,19923693,"FLAT/RM A, 11/F., HANG SENG CENTRE, 95-97 TUNG CHAU STREET, TAI KOK TSUI, KLN, HONG KONG",Private company limited by shares,09-05-1996,CHAU MOU ENGINEERING COMPANY LIMITED,1.0
45,Chee Cheung Hing & Company Limited,朱祥興有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,04431837,"8/F MASS RESOURCES DEVELOPMENT BUILDING, 12 HUMPHREYS AVENUE TST KLN, HONG KONG",Private company limited by shares,27-05-1975,CHEE CHEUNG HING & COMPANY LIMITED,1.0
46,Cheerful Technology Limited,時富科技有限公司,Waterworks,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,30541028,"UNIT 15, 4/F., GOLDFIELD INDUSTRIAL CENTRE,, 1 SUI WO ROAD, SHATIN,, NEW TERRITORIES, HONG KONG",Private company limited by shares,13-10-1999,CHEERFUL TECHNOLOGY LIMITED,1.0
47,Cheung Hing Construction Company Limited,祥興建造有限公司,Buildings,C,suspended,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,00827232,"UNIT 6 4/F LIVEN HSE, 61-63 KING YIP ST KWUN TONG KLN, HONG KONG",Private company limited by shares,20-09-1958,CHEUNG HING CONSTRUCTION COMPANY LIMITED,1.0
48,Chevalier (Civil Engineering) Limited,其士 (土木工程) 有限公司,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,15769457,"22/F CHEVALIER COMMERCIAL CENTRE, 8 WANG HOI ROAD KOWLOON BAY, HONG KONG",Private company limited by shares,14-05-1992,CHEVALIER (CIVIL ENGINEERING) LIMITED,1.0
49,Chevalier (Construction) Company Limited,其士 (建築) 有限公司,Buildings,C,suspended,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,68997435,"22/F CHEVALIER COMMERCIAL CENTRE, 8 WANG HOI ROAD, KOWLOON BAY, HONG KONG",Private company limited by shares,23-02-2018,CHEVALIER CONSTRUCTION TECHNOLOGY LIMITED,0.9
50,Chi Shing Building and Construction Limited,志成建築營造有限公司,Buildings,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,61653868,"NO. 2 - 3, 19/F, FOOK YIP BUILDING, NOS. 53 - 57 KAWI FUNG CRESCENT, KWAI CHUNG, NEW TERRITORIES, HONG KONG",Private company limited by shares,27-06-2013,CHI SHING BUILDING AND CONSTRUCTION LIMITED,1.0
51,Chi Sum Engineering Limited,志森營造有限公司,Buildings,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,12740721,"FLAT A, 4/F., KIN GA INDUSTRIAL BUILDING, 9 SAN ON STREET, TUEN MUN, N.T., HONG KONG",Private company limited by shares,17-03-1989,CHI SUM ENGINEERING LIMITED,1.0
52,China Civil Engineering Construction Corporation,中國土木工程集團有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,32713873,"23/F, RAILWAY PLAZA,, 39 CHATHAM ROAD SOUTH,, TSIMSHATSUI, HONG KONG",Private company limited by shares,27-03-2002,CHINA CIVIL ENGINEERING CONSTRUCTION CO. (H.K.) LIMITED,0.943
53,China Civil Engineering Construction Corporation,中國土木工程集團有限公司,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,32713873,"23/F, RAILWAY PLAZA,, 39 CHATHAM ROAD SOUTH,, TSIMSHATSUI, HONG KONG",Private company limited by shares,27-03-2002,CHINA CIVIL ENGINEERING CONSTRUCTION CO. (H.K.) LIMITED,0.943
