REHAB_PROJ_KEY,BUILDING_NAME_ENG,BUILDING_NAME_CHI,BUILDING_ADDRESS_ENG,BUILDING_ADDRESS_CHI,DISTRICT,COMPLETION_YEAR,NUMBER_OF_UNITS,NUMBER_OF_STOREYS,REHABILITATION_COST,AVERAGE_CONTRIBUTION_PER_UNIT,OP_YEAR,SCHEME,SCOPE_OF_WORKS
912,Cheng Hong Building,正康大樓,47-57 Temple Street,廟街47-57號,Yau Tsim Mong,2012,58,16,3254982,56120.38,1974,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Windows; Main Lobby Redecoration
1272,Tai Fu Building,大富樓,6-20 Tai Tsun Street Tai Kok Tsui,大角咀大全街6-20號,Yau Tsim Mong,2012,165,14,3900580.4,23639.88,1974,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
931,Say Hay House,四喜樓,88-90 Hak Po Street,黑布街88-90號,Yau Tsim Mong,2010,24,12,1950000,81250,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
551,,,185-191 Tong Mi Road Tai Kok Tsui,大角咀塘尾道185-191號,Yau Tsim Mong,2011,24,6,1285500,53562.5,1960,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Replacement/Repairing of Windows
999,,,326-332 Reclamation Street,新填地街326-332號,Yau Tsim Mong,2012,32,8,1390000,43437.5,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1398,Tai Kok Tsui Building,大角咀大廈,41-63 Oak Street & 57-63 Anchor Street,橡樹街41-63號及晏架街57-63號,Yau Tsim Mong,2015,265,13,10500000,39622.64,1962,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
1400,Fook Kwan Building,福群樓,27-41 Ka Shin Street & 2L-2H Kok Cheung Street & 28-44 Pok Man Street,嘉善街27-41號、角祥街2L-2H號及博文街28-44號,Yau Tsim Mong,2015,233,15,9377150,40245.28,1973,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors
1159,Dun Tak Mansion,登德大廈,33-35 Dundas Street,登打士街33-35號,Yau Tsim Mong,2013,38,9,1658440,43643.16,1963,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1396,Kam Do Mansion,金都大廈,64-68 Fa Yuen Street,花園街64-68號,Yau Tsim Mong,2012,34,16,1725640,50754.12,1978,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Replacement/Repairing of Windows; Main Lobby Redecoration
714,Good Luck House,幸運大廈,78-84 Portland Street,砵蘭街78-84號,Yau Tsim Mong,2011,53,8,1760000,33207.55,1967,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Windows
