no.,source,tender_ref,contractor_name,contract_value,currency,award_date,url
105,gld,A1500582024,Microware Limited,22239120.0,HKD,2025-12-24,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
106,archsd,RFN802,"Lidell Construction Company, Limited",11757800.0,HKD,2025-12-29,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
107,gld,AF300132025,A & P Instrument Company Limited,8100000.0,HKD,2025-12-29,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
108,hyd,HY/2025/05,Hang Kee Development Company Limited,27160000.0,HKD,2025-12-30,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
109,cedd,NL/2023/11,CCC-CCECC-CR11G Joint Venture,792000000.0,HKD,2026-02-16,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
110,hyd,HY/2024/12,Fong On Construction Limited,130130000.0,HKD,2026-02-20,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
111,hyd,04/HY/2025,WCCL - EW Joint Venture,641473000.0,HKD,2026-02-25,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
112,hyd,03/HY/2025,SY - HC Joint Venture,780848000.0,HKD,2026-02-26,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
113,cedd,ND/2025/01,CRBC - MAYLON Joint Venture,2266910000.0,HKD,2026-02-27,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
114,hyd,11/HY/2025,Kum Shing Construction Company Limited,290427000.0,HKD,2026-03-10,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
115,cedd,GE/2025/12,CM Geotechnics Limited,270640000.0,HKD,2026-03-16,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
116,cedd,ND/2025/04,Tysan Foundation Limited,27500000.0,HKD,2026-03-25,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
117,cedd,GE/2025/26,Fugro Geotechnical Services Limited,36540000.0,HKD,2026-03-25,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
118,cedd,GE/2025/21,Tysan Foundation Limited,32030000.0,HKD,2026-03-30,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
119,cedd,GE/2025/33,Castco Testing Centre Limited,3380000.0,HKD,2026-03-30,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
120,hyd,HY/2024/07,Geotechnics & Concrete Engineering (Hong Kong) Limited,6781000.0,HKD,2026-04-02,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
121,cedd,CEDD/S/T/7/2025,Keao Limited,7880000.0,HKD,2026-04-08,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
122,cedd,GE/2025/19,Pan Kee Construction Limited,193170000.0,HKD,2026-04-09,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
123,hyd,HY/2025/14,Xsun Engineering Limited,28349000.0,HKD,2026-04-29,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
124,cedd,NL/2025/09,Richwell Engineering - Wang Kee Civil Joint Venture,634000000.0,HKD,2026-04-29,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
125,cedd,CEDD/S/T/11/2025,Great Safe Apparatus Limited,1250000.0,HKD,2026-05-08,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
126,cedd,GE/2025/25,Bachy Soletanche Group Limited,33980000.0,HKD,2026-05-13,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
127,archsd,TCP720,Yau Lee Construction Company Limited,420896000.0,HKD,2026-05-15,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
128,cedd,GE/2026/12,A-City Workshop Limited,176970000.0,HKD,2026-05-27,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
129,hyd,09/HY/2025,Carrier Construction Limited,141630000.0,HKD,2026-06-02,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
130,archsd,SSN507,Penta-Ocean Construction Co Ltd,925772000.0,HKD,2026-06-09,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
131,archsd,TCR973,Cheung Hing - Hung Wan - Maylon Joint Venture,568002100.0,HKD,2026-06-10,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
132,hyd,HY/2025/06,Grand View – Excel JV,133979999.99999999,HKD,2026-06-10,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
133,cedd,YL/2024/03,Tung Lee Civil Engineering Limited,301780000.0,HKD,2026-06-11,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
134,hyd,HY/2025/12,Mak Hang Kei (Hong Kong) Construction Limited,19800000.0,HKD,2026-06-17,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
135,archsd,RFP802,Gold Banner Construction and Development Limited,9095554.0,HKD,2026-06-24,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
136,hyd,HY/2025/13,Gammon Construction – Build King – Tung Lee Joint Venture,1366490000.0,HKD,2026-06-26,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
137,hyd,HY/2024/02,Wing Hing Construction Company Limited,129939000.0,HKD,2026-06-26,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
138,cedd,CEDD/S/T/1/2026,Great Safe Apparatus Limited,1988000.0,HKD,2026-07-14,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
139,cedd,CV/2025/02,CCS Joint Venture,1395150000.0,HKD,2026-07-29,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
140,cedd,NL/2026/08,Sang Hing – Tapbo Joint Venture,689000000.0,HKD,2026-08-07,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
